,USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
323,1532553909133560,12,7,726.0,1,1,1,111
328,1532559029082250,14,3,472.0,2,2,1,221
364,1532607111333310,13,3,355.0,2,2,1,221
381,1532621716964860,24,9,1059.0,2,1,1,211
388,1532628475221990,2,12,1125.0,1,1,1,111
399,1532644751151280,25,5,565.8399999999998,2,1,1,211
401,1532647726220500,2,13,429.0,1,1,1,111
402,1532648498874190,3,6,648.94,1,1,1,111
406,1532655920927550,19,6,415.0,2,1,1,211
410,1532663862902720,11,3,319.77,1,2,2,122
417,1532681023576730,3,9,787.92,1,1,1,111
424,1532701778727610,11,8,777.0,1,1,1,111
